   1.0000000e+00  -1.0000000e-02
   9.9726095e-01  -8.6312223e-03
   9.8907380e-01  -4.6475960e-03
   9.7552826e-01   1.5971456e-03
   9.5677273e-01   9.5591479e-03
   9.3301270e-01   1.8565522e-02
   9.0450850e-01   2.7886375e-02
   8.7157241e-01   3.6807365e-02
   8.3456530e-01   4.4693036e-02
   7.9389263e-01   5.1033566e-02
   7.5000000e-01   5.5471053e-02
   7.0336832e-01   5.7805360e-02
   6.5450850e-01   5.7983011e-02
   6.0395585e-01   5.6075057e-02
   5.5226423e-01   5.2250692e-02
   5.0000000e-01   4.6752723e-02
   4.4773577e-01   3.9878973e-02
   3.9604415e-01   3.1970936e-02
   3.4549150e-01   2.3408150e-02
   2.9663168e-01   1.4604574e-02
   2.5000000e-01   6.0022215e-03
   2.0610737e-01  -1.9422930e-03
   1.6543470e-01  -8.7809063e-03
   1.2842759e-01  -1.4106908e-02
   9.5491503e-02  -1.7594371e-02
   6.6987298e-02  -1.9038639e-02
   4.3227271e-02  -1.8390792e-02
   2.4471742e-02  -1.5778964e-02
   1.0926200e-02  -1.1510891e-02
   2.7390523e-03  -6.0548799e-03
   0.0000000e+00   0.0000000e+00
   2.7390523e-03   1.6680674e-02
   1.0926200e-02   3.3718996e-02
   2.4471742e-02   5.1280708e-02
   4.3227271e-02   6.9288878e-02
   6.6987298e-02   8.7373609e-02
   9.5491503e-02   1.0488928e-01
   1.2842759e-01   1.2099697e-01
   1.6543470e-01   1.3479556e-01
   2.0610737e-01   1.4547445e-01
   2.5000000e-01   1.5245596e-01
   2.9663168e-01   1.5549769e-01
   3.4549150e-01   1.5473361e-01
   3.9604415e-01   1.5064547e-01
   4.4773577e-01   1.4397109e-01
   5.0000000e-01   1.3556928e-01
   5.5226423e-01   1.2627003e-01
   6.0395585e-01   1.1674140e-01
   6.5450850e-01   1.0740036e-01
   7.0336832e-01   9.8385127e-02
   7.5000000e-01   8.9592551e-02
   7.9389263e-01   8.0770290e-02
   8.3456530e-01   7.1641234e-02
   8.7157241e-01   6.2031035e-02
   9.0450850e-01   5.1969116e-02
   9.3301270e-01   4.1739667e-02
   9.5677273e-01   3.1870439e-02
   9.7552826e-01   2.3061044e-02
   9.8907380e-01   1.6065994e-02
   9.9726095e-01   1.1557803e-02
   1.0000000e+00   1.0000000e-02
